Ticker,Date/Time,Close,UpBars,DnBars,Downtrend Length,Uptrend Length,LR_UC,LR_MC,LR_LC,Buy
1STCUS.BO,1/14/2025,138.00,6.00,0.00,11.00,6.00,148.19,146.90,145.61,1
3RDROCK.NS,1/13/2025,64.60,349.00,0.00,,349.00,,,,1
4THGEN.BO,1/13/2025,6.87,106.00,0.00,117.00,106.00,7.28,7.01,6.73,1
AARVEEDEN.NS,1/14/2025,132.00,53.00,0.00,65.00,53.00,134.61,130.43,126.26,1
ABHIFIN.BO,1/14/2025,64.75,13.00,0.00,17.00,13.00,71.74,66.37,61.01,1
ABHICAP.BO,1/14/2025,154.10,9.00,0.00,14.00,9.00,170.98,165.90,160.82,1
ABHIINFRA.BO,1/14/2025,8.45,28.00,0.00,82.00,28.00,9.04,8.58,8.12,1
ABBOTINDIA.NS,9/13/2024,29559.00,23.00,0.00,40.00,23.00,33379.60,32942.86,32506.12,1
ABMKNO.BO,1/14/2025,225.10,12.00,0.00,24.00,12.00,265.52,239.88,214.24,1
ACESOFT.BO,1/14/2025,324.90,16.00,0.00,19.00,16.00,335.30,329.55,323.81,1
ACTIVE.BO,1/14/2025,119.40,11.00,0.00,13.00,11.00,123.86,114.41,104.97,1
ADORFO.BO,9/24/2024,142.50,11.00,0.00,50.00,11.00,146.62,142.25,137.89,1
ADVPETR-B.BO,1/14/2025,215.35,4.00,0.00,13.00,4.00,219.75,215.27,210.79,1
AGIOPAPER.BO,1/10/2025,7.26,10.00,0.00,14.00,10.00,7.70,7.41,7.13,1
AKSPINTEX.BO,1/14/2025,709.10,7.00,0.00,12.00,7.00,766.46,765.62,764.77,1
AKZOINDIA.NS,1/14/2025,3702.95,11.00,0.00,49.00,11.00,3886.44,3754.30,3622.15,1
ALFREDHE.BO,1/14/2025,2019.00,12.00,0.00,22.00,12.00,2146.08,2097.45,2048.81,1
ALICON.NS,1/14/2025,1007.70,10.00,0.00,24.00,10.00,0.00,0.00,0.00,1
ALLSEC.NS,11/26/2024,1000.25,7.00,0.00,13.00,7.00,1007.89,984.62,961.34,1
AMAL.BO,1/14/2025,525.35,12.00,0.00,18.00,12.00,522.40,499.23,476.05,1
AMARAJABAT.NS,12/28/2023,820.45,39.00,0.00,73.00,39.00,854.31,810.48,766.64,1
AMBITION.BO,10/21/2024,2.96,45.00,0.00,77.00,45.00,3.18,3.03,2.88,1
AMITINT.BO,1/14/2025,4.37,4.00,0.00,15.00,4.00,4.83,4.75,4.67,1
ANERI.BO,1/3/2025,7.68,66.00,0.00,91.00,66.00,8.65,8.32,8.00,1
ANKIN.BO,1/14/2025,19.75,4.00,0.00,9.00,4.00,20.13,19.86,19.59,1
ANSINDUS.BO,1/13/2025,9.98,3.00,0.00,7.00,3.00,10.02,9.96,9.90,1
APIL.BO,1/14/2025,26.15,4.00,0.00,9.00,4.00,30.39,28.53,26.68,1
