Date/Time,Ticker,BearBreak,Buy_ATR,Buy_BB,Buy_EW,Buy_LR,Buy_ZZ,Close,DnBars,Downtrend Length,FromHigh,FromLow,LR_LC,LR_MC,LR_UC,Mega Sellby Larger Wave,NumberOfTickers,Pattern,PercentileRank,Rank,SL,UpBars,Uptrend Length,hh,ll,myShort,Buy,Current_Price,Quantity,P/L Percentage
2024-11-25,3PLAND.NS,,ATR,BB,,,ZZ,55.59,0.0,62.0,0.0,0.0,46.82,49.58,52.34,,3525.0,_BW,100.0,1.0,,19.0,19.0,56.52,34.05,,ATRBB_BW,58.79999923706055,46.0,0.05774418487246885
2024-11-25,ABFRL.NS,,,,EW,,,299.0,,,0.0,1.0,,,,,3525.0,_DC,100.0,1.0,283.75,,,364.4,283.75,,EW_DC,316.20001220703125,66.0,0.05752512443823161
2024-11-25,ACC.NS,,,,EW,,,2145.0,,,1.0,1.0,,,,,3525.0,_DC,100.0,1.0,1868.2,,,2544.9,1868.2,,EW_DC,2198.39990234375,4.0,0.02489505936771562
2024-11-25,ACEINTEG.NS,,,,EW,,,33.0,,,0.0,1.0,,,,,3525.0,_BW,100.0,1.0,28.01,,,36.49,28.01,,EW_BW,32.540000915527344,200.0,-0.013939366196141098
2024-11-25,ACKNIT.BO,,,,EW,,,294.0,,,1.0,1.0,,,,,3525.0,_BW,100.0,1.0,275.0,,,360.0,275.0,,EW_BW,298.25,53.0,0.01445578231292517
2024-11-25,ACROW.BO,,,BB,,,ZZ,763.0,0.0,23.0,3.0,13.0,717.12,750.03,782.94,,3525.0,_W,100.0,1.0,,18.0,18.0,1020.0,666.2,,BB_W,883.25,10.0,0.15760157273918743
2024-11-25,ADSL.NS,,,BB,,,,257.9,,,1.0,7.0,,,,,3525.0,_DC,100.0,1.0,,,,315.0,243.05,,BB_DC,267.54998779296875,67.0,0.037417556389952596
2024-11-25,AEGISLOG.BO,,,,EW,,ZZ,848.0,0.0,12.0,1.0,1.0,868.82,895.96,923.11,,3525.0,_UC,100.0,1.0,745.2,8.0,8.0,857.75,647.9,,EW_UC,845.5999755859375,5.0,-0.0028302174694133254
2024-11-25,AHLUCONT.NS,,,BB,,,,956.9,,,1.0,1.0,,,,,3525.0,_DC,100.0,1.0,,,,1542.45,915.0,,BB_DC,1000.0,24.0,0.045041279130525684
2024-11-25,AJANTPHARM.NS,,,BB,,LR,ZZ,2996.7,0.0,11.0,0.0,2.0,2976.02,2998.45,3020.89,,3525.0,_DC,100.0,1.0,,6.0,6.0,3485.0,2755.55,,BBLR_DC,2963.199951171875,4.0,-0.011178979820510835
