Ticker,Date/Time,Close,SL,Mega Buy by Larger Wave ,Mega Sellby Larger Wave,Short_SL,Call,Status
1STCUS.BO,2024-11-11,119,89.35,,128.93,132.0,Short,Close
20MICRONS.NS,2024-11-22,230,228.35,223.18,,321.0,Long,Open
21STCENMGM.NS,2024-11-07,98,42.7,,121.33,121.44,Short,Close
360ONE.NS,2024-11-18,1092,940.0,1038.63,,1099.8,Long,Open
3IINFOLTD.NS,2024-08-28,26,31.5,,37.42,38.17,Short,Close
3MINDIA.NS,2024-11-01,31748,35454.25,,36257.04,36317.6,Short,Close
3PLAND.NS,2024-10-29,67,27.8,36.53,,38.45,Long,Open
4THGEN.BO,2024-09-16,7,4.53,5.67,,5.67,Long,Open
5PAISA.NS,2024-11-01,488,458.0,,522.09,525.0,Short,Close
63MOONS.NS,2024-11-12,580,316.0,,608.52,617.6,Short,Close
7NR.BO,2024-11-25,6,4.96,5.29,,6.1,Long,Open
7TEC.BO,2024-11-19,56,50.26,54.99,,61.85,Long,Open
A2ZINFRA.NS,2024-11-19,17,15.75,,18.19,20.5,Short,Close
AAATECH.NS,2024-11-19,113,110.0,107.83,,129.4,Long,Open
AAIL.BO,2024-11-12,105,108.4,,113.79,117.0,Short,Close
AAKASH.NS,2024-11-22,11,10.46,10.45,,11.0,Long,Open
AANANDALAK.BO,2024-11-14,18,4.76,,20.3,20.3,Short,Close
AANCHALISP.BO,2024-11-21,6,5.07,,5.92,6.05,Short,Close
AARON.NS,2024-11-19,331,251.05,293.08,,335.0,Long,Open
AARTECH.BO,2024-11-18,73,60.16,62.01,,64.94,Long,Open
AARTIDRUGS.NS,2024-08-26,454,530.0,,613.4,632.5,Short,Close
AARTIIND.NS,2024-11-25,451,422.6,436.44,,529.5,Long,Open
AARTISURF.NS,2024-11-07,633,605.0,,742.5,768.8,Short,Close
AARVEEDEN.NS,2024-10-29,73,21.65,43.03,,50.0,Long,Open
AARVI.NS,2024-11-06,135,127.72,,152.57,154.5,Short,Close
AAVAS.NS,2024-09-23,1658,1416.3,,1907.79,1919.95,Short,Close
AAYUSH.BO,2024-10-04,143,29.8,73.11,,73.12,Long,Open
ABAN.NS,2024-11-14,62,66.32,61.01,,68.8,Long,Open
ABANSENT.BO,2024-11-19,38,25.1,33.39,,40.5,Long,Open
ABB.NS,2024-11-22,7330,6629.85,6805.58,,6939.0,Long,Open
ABBOTINDIA.BO,2024-11-04,27554,26500.05,,29497.5,29615.0,Short,Close
ABBOTINDIA.NS,2024-08-21,29559,25200.0,27946.75,,28666.15,Long,Open
ABCAPITAL.NS,2024-10-01,191,167.45,,241.8,243.6,Short,Close
ABCINDQ.BO,2024-11-22,117,111.6,,126.07,130.0,Short,Close
ABFRL.NS,2024-11-25,307,283.75,295.86,,304.0,Long,Open
ABHICAP.BO,2024-11-19,157,140.2,145.93,,162.0,Long,Open
ABHIINFRA.BO,2024-09-16,5,4.2,,10.82,10.82,Short,Close
ABIRAFN.BO,2024-11-13,53,51.5,,62.23,64.8,Short,Close
ABMKNO.BO,2024-11-08,126,132.8,,142.36,143.8,Short,Close
ACC.NS,2024-11-25,2116,1868.2,2121.88,,2367.0,Long,Open
ACCEL.BO,2024-11-07,22,21.5,,24.69,24.89,Short,Close
ACCELYA.NS,2024-11-01,1488,1652.4,,1627.31,1634.75,Short,Close
ACCURACY.NS,2024-11-01,9,10.36,,10.3,10.51,Short,Close
ACE.NS,2024-11-22,1261,1115.5,1207.43,,1406.0,Long,Open
ACEINTEG.NS,2024-11-25,33,28.01,31.2,,34.34,Long,Open
