Ticker,Last Alert Date,Close,Stop Loss,Buy Price,Target,Short_SL,Call,Status
AEGISCHEM.NS,2024-07-26,733,357.05,,892.86,899.95,Short,Close
AEGISLOG.BO,2024-09-10,698,358.15,,850.61,867.1,Short,Close
AEL.BO,2024-08-22,194,96.2,,219.58,222.4,Short,Close
AFEL.BO,2024-09-11,19,5.49,13.0,,16.04,Long,Open
AFFLE.NS,2024-10-09,1609,1470.05,1541.99,,1618.0,Long,Open
AGARIND.NS,2024-09-23,1120,1086.55,1158.75,,1212.0,Long,Open
AGIIL.BO,2024-09-19,933,,,1139.47,1184.0,Short,Close
AGIOPAPER.BO,2024-09-27,8,4.35,,8.5,8.61,Short,Close
AGRITECH.NS,2024-10-08,236,205.3,209.17,,234.85,Long,Open
AGROPHOS.NS,2024-10-04,47,41.91,,48.13,49.5,Short,Close
AHLADA.NS,2024-10-08,105,102.46,100.39,,121.04,Long,Open
AHLEAST.NS,2024-10-08,163,129.11,158.68,,176.0,Long,Open
AHLUCONT.NS,2024-09-20,1098,987.05,1162.72,,1230.9,Long,Open
AHMDSTE.BO,2024-09-05,321,33.8,198.0,,226.45,Long,Open
AIAENG.NS,2024-08-12,4111,3340.05,,4897.94,4949.95,Short,Close
AICHAMP.BO,2024-10-08,43,42.0,43.61,,48.88,Long,Open
AIIL.BO,2024-10-09,1827,961.6,1731.02,,1850.0,Long,Open
AIRAN.NS,2024-09-16,35,21.85,,42.37,42.73,Short,Close
AIROLAM.NS,2024-10-04,142,119.5,130.18,,137.0,Long,Open
AJANTPHARM.NS,2024-09-24,3375,2111.05,3122.79,,3290.0,Long,Open
AJANTSOY.BO,2024-10-04,46,25.65,,48.49,48.84,Short,Close
AJCON.BO,2024-10-09,45,37.5,44.26,,45.05,Long,Open
AJEL.BO,2024-09-30,17,16.44,,17.45,17.75,Short,Close
AJMERA.NS,2024-07-31,663,326.35,,756.53,764.8,Short,Close
AJOONI.NS,2024-10-08,8,7.85,7.48,,9.89,Long,Open
AJWAFUN.BO,2021-02-12,24,22.75,6.83,,6.83,Long,Open
AKASH.NS,2024-09-24,37,30.0,,40.42,41.8,Short,Close
AKCAPIT.BO,2024-09-12,1110,870.5,,1139.38,1159.0,Short,Close
AKG.NS,2024-10-09,20,17.9,20.03,,21.34,Long,Open
AKI.BO,2024-10-08,20,18.9,19.49,,23.1,Long,Open
AKSHAR.BO,2024-09-20,2,2.21,1.66,,1.78,Long,Open
AKSHARCHEM.NS,2024-09-10,317,256.1,,357.0,360.0,Short,Close
AKSHOPTFBR.NS,2024-10-08,9,8.0,8.31,,9.39,Long,Open
AKSPINTEX.BO,2024-10-01,273,186.0,226.99,,233.25,Long,Open
AKZOINDIA.NS,2024-09-27,4339,2752.0,3709.55,,3860.0,Long,Open
ALANKIT.NS,2024-10-08,23,22.5,22.29,,27.6,Long,Open
ALBERTDAVD.NS,2024-09-02,1455,1010.0,,1728.96,1746.95,Short,Close
ALEMBICLTD.NS,2024-08-23,138,88.55,,167.46,169.0,Short,Close
ALFAICA.BO,2024-10-04,88,81.02,,89.95,90.0,Short,Close
ALFATRAN.BO,2024-10-08,96,77.74,86.95,,96.0,Long,Open
ALFAVIO.BO,2024-06-28,17,9.99,11.59,,15.64,Long,Open
ALFL.BO,2024-09-17,2,1.75,,2.13,2.19,Short,Close
ALFREDHE.BO,2024-09-25,1745,1359.0,1606.21,,1695.95,Long,Open
ALICON.NS,2024-09-24,1309,1129.95,1404.67,,1503.9,Long,Open
ALKALI.NS,2024-09-05,120,95.55,,135.44,140.44,Short,Close
ALKEM.NS,2024-09-24,6294,4407.05,6020.26,,6439.9,Long,Open
ALKYLAMINE.NS,2024-10-01,2295,1961.9,,2403.61,2443.15,Short,Close
ALLCARGO.NS,2024-09-10,62,66.2,67.37,,71.5,Long,Open
ALLSEC.NS,2024-09-03,1002,695.05,,1190.0,1210.0,Short,Close
ALMONDZ.NS,2024-09-16,31,16.42,,34.88,35.24,Short,Close
ALOKINDS.NS,2024-10-01,25,24.48,,27.54,28.0,Short,Close
ALPA.NS,2024-09-30,120,69.9,,142.13,144.5,Short,Close
ALPHAGEO.NS,2024-10-03,413,412.0,,453.09,458.6,Short,Close
ALPINEHOU.BO,2024-09-12,103,123.85,108.04,,120.15,Long,Open
ALPSINDUS.NS,2024-10-04,4,3.54,,4.07,4.12,Short,Close
ALSTONE.BO,2024-10-09,1,0.67,0.74,,0.76,Short,Close
ALUFLUOR.BO,2024-10-09,391,360.0,383.73,,398.85,Long,Open
AMAL.BO,2024-10-08,330,295.5,313.24,,327.0,Long,Open
AMALGAM.BO,2024-10-09,94,45.6,87.75,,117.0,Long,Open
AMARAJABAT.NS,2023-12-20,820,599.0,749.97,,799.6,Long,Open
AMARJOTHI.BO,2024-08-27,208,152.7,,231.11,235.0,Short,Close
AMBALALSA.BO,2024-10-09,57,51.27,55.31,,69.5,Long,Open
AMBER.NS,2024-09-30,5154,3964.0,4647.14,,5361.15,Long,Open
AMBICAAGAR.BO,2024-10-09,28,27.0,,28.8,30.65,Short,Close
AMBIKCO.NS,2024-09-17,1619,1415.0,,1821.13,1869.0,Short,Close
AMBITION.BO,2024-08-22,3,3.46,2.69,,2.71,Long,Open
AMBUJACEM.NS,2024-07-01,608,315.3,,692.36,701.8,Short,Close
AMCOIND.BO,2024-10-08,78,54.3,74.03,,85.0,Long,Open
AMDIND.NS,2024-08-22,68,62.85,,84.2,85.5,Short,Close
AMFORG.BO,2024-10-09,10,9.07,10.13,,11.66,Long,Open
AMITINT.BO,2024-10-04,4,3.51,,4.23,4.3,Short,Close
AMJLAND.NS,2024-08-27,46,31.1,,58.01,58.65,Short,Close
AMNPLST.BO,2024-09-16,296,178.6,,336.71,340.0,Short,Close
AMRAAGRI.BO,2024-08-26,1,0.95,,1.18,1.19,Short,Close
AMRAPLIN.BO,2024-10-01,16,14.8,,16.23,17.7,Short,Close
AMRUTANJAN.NS,2024-08-28,770,596.0,,854.44,862.6,Short,Close
AMTL.BO,2024-09-27,41,36.42,,42.66,43.13,Short,Close
ANANTRAJ.NS,2024-10-08,739,319.15,675.13,,747.8,Long,Open
ANDHRAPAP.NS,2024-09-10,102,95.2,,117.07,118.36,Short,Close
ANDHRAPET.BO,2024-10-09,93,85.05,91.46,,95.5,Long,Open
ANDHRSUGAR.NS,2024-09-04,105,92.15,,116.0,123.74,Short,Close
ANDREWYU.BO,2024-10-01,44,49.66,,47.93,48.94,Short,Close
ANERI.BO,2024-08-23,6,4.04,,6.93,6.97,Short,Close
ANG.BO,2024-10-08,51,46.0,47.56,,56.85,Long,Open
ANGELONE.NS,2024-10-03,2594,2025.0,,2708.22,2794.3,Short,Close
ANIKINDS.NS,2024-09-12,74,41.6,,94.58,95.91,Short,Close
ANJANI.BO,2024-09-26,49,37.35,41.4,,42.5,Long,Open
ANJANIFIN.BO,2024-09-17,12,10.01,,14.08,15.38,Short,Close
ANJANIFOODS.BO,2024-08-19,38,35.18,,41.0,41.67,Short,Close
ANKIN.BO,2024-10-03,13,12.59,,14.72,15.95,Short,Close
ANKITMETAL.NS,2024-10-04,3,3.61,,3.74,3.74,Short,Close
ANMOL.BO,2024-09-17,31,31.0,,32.1,32.26,Short,Close
ANNAINFRA.BO,2024-08-28,33,22.8,,53.84,53.84,Short,Close
ANSALAPI.NS,2024-09-20,13,8.1,,14.59,14.85,Short,Close
ANSALBU.BO,2024-09-06,175,128.0,,220.21,220.95,Short,Close
ANSALHSG.BO,2024-09-05,21,12.35,,26.51,26.82,Short,Close
ANSINDUS.BO,2024-09-26,10,8.6,11.62,,14.23,Long,Open
ANUHPHR.BO,2024-10-09,201,186.45,,205.26,208.0,Short,Close
ANUP.NS,2024-09-26,2752,1665.05,2205.76,,2408.1,Long,Open
ANURAS.NS,2024-10-07,737,721.55,,742.94,784.1,Short,Close
APARINDS.NS,2024-10-09,10031,7595.0,9650.0,,10100.0,Long,Open
APCL.NS,2024-09-26,181,179.92,173.24,,191.66,Long,Open
APCOTEXIND.NS,2024-08-30,425,400.0,,460.96,473.7,Short,Close
APEX.NS,2024-08-21,242,204.15,,280.55,284.0,Short,Close
APIL.BO,2024-09-30,25,18.25,,25.9,27.45,Short,Close
APLAB.BO,2024-09-06,80,67.01,,83.16,99.6,Short,Close
APLAPOLLO.NS,2024-10-01,1536,1341.95,,1614.19,1628.0,Short,Close
APLLTD.NS,2024-09-23,1231,823.4,1136.14,,1278.0,Long,Open
APMIN.BO,2024-09-16,53,54.0,,59.06,59.95,Short,Close
APOLLO.NS,2024-09-16,101,97.5,,111.59,113.0,Short,Close
APOLLOFI.BO,2024-09-13,865,748.05,,911.6,919.95,Short,Close
APOLLOHOSP.NS,2024-09-27,7009,5693.2,,7237.43,7279.9,Short,Close
APOLLOPIPE.NS,2024-09-04,561,612.0,,654.0,664.9,Short,Close
APOLLOTYRE.NS,2024-09-27,507,477.15,,553.18,584.9,Short,Close
APOLSINHOT.NS,2024-10-08,1957,1345.45,1807.75,,2224.85,Long,Open
APTECHT.NS,2024-08-27,215,201.1,,251.28,254.0,Short,Close
ARAVALIS.BO,2024-10-07,5,4.45,4.77,,5.25,Long,Open
ARCEEIN.BO,2024-09-24,6,5.48,,6.83,6.85,Short,Close
ARCFIN.BO,2024-09-27,3,1.07,,3.0,3.06,Short,Close
ARCHIDPLY.NS,2024-09-27,129,90.8,120.46,,140.42,Long,Open
ARCHIES.NS,2024-10-01,29,24.5,33.3,,36.71,Long,Open
ARCHITORG.BO,2024-09-16,46,35.1,,52.89,53.5,Short,Close
ARENTERP.NS,2024-08-09,45,33.55,,77.49,79.8,Short,Close
AREXMIS.BO,2024-08-27,180,129.2,,196.21,198.5,Short,Close
ARFIN.BO,2024-10-09,38,34.75,37.12,,40.48,Long,Open
ARIES.NS,2024-09-18,256,192.1,,296.26,300.25,Short,Close
ARIHANT.BO,2024-10-04,507,131.0,463.92,,507.8,Long,Open
ARIHANTSUP.NS,2024-10-01,378,278.0,,430.0,434.4,Short,Close
ARISE.BO,2024-09-27,33,15.99,29.03,,34.3,Long,Open
ARMANFIN.NS,2024-09-20,1585,1970.0,,1839.75,1864.4,Short,Close
ARNOLD.BO,2024-09-25,52,41.0,,73.07,74.7,Short,Close
AROGRANITE.NS,2024-09-23,56,49.15,,60.68,62.0,Short,Close
ARROWGREEN.NS,2024-08-26,796,389.65,,925.6,937.0,Short,Close
ARSHIYA.NS,2024-08-30,3,5.9,,5.38,5.62,Short,Close
ARSSINFRA.NS,2024-09-26,18,17.55,,22.05,22.5,Short,Close
ARTEFACT.BO,2024-09-13,79,58.2,,81.95,84.3,Short,Close
ARTEMISMED.NS,2024-09-16,263,143.05,,298.18,304.7,Short,Close
ARTNIRMAN.NS,2024-08-08,59,45.7,,89.34,92.12,Short,Close
ARTSONEN.BO,2024-08-30,182,135.1,,209.95,210.55,Short,Close
ARUNAHTEL.BO,2024-09-12,11,9.52,,12.18,12.7,Short,Close
ARVEE.NS,2024-09-24,178,170.02,,186.36,190.0,Short,Close
ARVIND.NS,2024-08-21,353,266.9,,412.23,415.0,Short,Close
ARVINDFASN.NS,2024-10-09,597,544.45,586.22,,599.5,Long,Open
ARVSMART.NS,2024-10-08,842,687.0,764.25,,902.0,Long,Open
ARYAMAN.BO,2024-09-06,401,229.6,,421.69,429.9,Short,Close
ASAHIINDIA.NS,2024-09-23,745,608.0,,819.85,833.95,Short,Close
ASAHISONG.NS,2024-09-04,459,299.05,,532.0,539.0,Short,Close
ASAL.NS,2024-09-30,733,801.0,751.01,,795.9,Long,Open
ASALCBR.NS,2024-09-23,921,647.85,,1022.33,1037.4,Short,Close
ASHAI.BO,2024-10-03,14,11.49,11.98,,15.4,Long,Open
ASHAPURMIN.NS,2024-09-16,295,303.9,,322.58,326.65,Short,Close
ASHCAP.BO,2024-09-11,5,4.81,,5.23,5.29,Short,Close
ASHIANA.NS,2024-09-13,302,314.05,,356.92,367.8,Short,Close
ASHIMASYN.NS,2024-10-03,34,30.86,,36.85,37.75,Short,Close
ASHIS.BO,2024-10-09,54,36.6,53.05,,62.65,Long,Open
ASHISHPO.BO,2024-10-03,64,55.89,54.23,,74.25,Long,Open
ASHNOOR.BO,2024-10-09,50,39.02,47.85,,51.0,Long,Open
ASHOKA.NS,2024-10-07,240,227.4,232.74,,251.5,Long,Open
ASHOKLEY.NS,2024-08-27,222,157.55,,263.14,264.65,Short,Close
ASHRAM.BO,2024-10-07,5,5.19,5.48,,6.54,Long,Open
ASHSI.BO,2024-08-28,38,35.02,,40.56,41.25,Short,Close
ASIANENE.BO,2024-10-07,385,343.0,363.93,,390.85,Long,Open
ASIANHOTNR.NS,2024-10-04,201,130.1,,222.46,227.89,Short,Close
ASIANPAINT.NS,2024-09-17,3079,2670.1,,3337.88,3394.9,Short,Close
ASIANTILES.NS,2024-09-25,79,70.37,,90.65,91.3,Short,Close
ASIANTNE.BO,2024-10-04,15,14.15,,16.08,16.17,Short,Close
ASIAPAK.BO,2024-10-07,63,51.82,61.42,,66.13,Long,Open
ASIIL.BO,2024-10-04,53,,,56.19,56.19,Short,Close
ASINPET.BO,2021-03-05,22,,3.34,,3.46,Long,Open
ASITCFIN.BO,2024-10-01,164,131.55,,173.09,175.8,Short,Close
ASMTEC.BO,2024-10-09,1511,1244.0,1466.6,,1864.0,Long,Open
ASPINWALL.NS,2024-09-16,275,223.7,,308.22,313.3,Short,Close
ASPIRA.BO,2024-10-04,43,25.0,40.9,,50.11,Long,Open
ASTAR.BO,2024-10-09,849,800.0,835.75,,887.85,Long,Open
ASTEC.NS,2024-09-24,1099,1180.6,1223.06,,1333.5,Long,Open
ASTERDM.NS,2024-08-12,421,317.1,389.45,,410.45,Long,Open
ASTRAL.NS,2024-09-26,1902,1859.0,,2022.42,2037.95,Short,Close
ASTRAMICRO.NS,2024-09-12,839,632.1,,930.15,939.9,Short,Close
ASTRAZEN.NS,2024-10-07,7881,6367.55,7614.75,,8139.0,Long,Open
ASTRON.NS,2024-08-30,22,19.0,,24.94,25.2,Short,Close
ASYL.BO,2024-09-30,6,5.71,5.78,,6.22,Long,Open
ATALREAL.NS,2024-10-07,8,7.1,8.21,,9.45,Long,Open
ATAM.BO,2024-08-19,153,192.15,,183.21,187.6,Short,Close
ATFL.NS,2024-09-23,866,644.45,808.81,,840.05,Long,Open
ATGL.NS,2024-06-07,757,650.0,,979.9,1190.0,Short,Close
ATHARVENT.BO,2024-10-08,3,2.5,2.6,,3.25,Long,Open
ATHENAGLO.BO,2024-10-08,97,92.8,91.49,,114.95,Long,Open
ATISHAY.BO,2024-09-24,153,59.1,128.88,,133.9,Long,Open
ATLANTA.NS,2024-02-08,22,20.8,,25.39,25.95,Short,Close
ATUL.NS,2024-10-08,7909,7450.0,7578.98,,8062.65,Long,Open
ATULAUTO.NS,2024-09-04,644,471.65,,710.58,724.0,Short,Close
ATVPR.BO,2024-10-08,34,32.85,31.01,,36.39,Long,Open
AUBANK.NS,2024-09-19,705,624.55,,747.8,755.4,Short,Close
AURIONPRO.NS,2024-10-09,1644,1418.9,1575.49,,1991.75,Long,Open
AUROLAB.BO,2024-10-01,216,156.4,,222.66,225.85,Short,Close
AUROPHARMA.NS,2024-08-30,1509,958.5,,1573.2,1580.6,Short,Close
AUSOMENT.NS,2024-09-11,134,72.2,93.13,,106.5,Long,Open
AUSTENG.BO,2024-10-09,223,200.1,215.03,,226.95,Long,Open
AUTOAXLES.NS,2024-08-28,1883,1780.0,,2080.1,2105.0,Short,Close
AUTOIND.NS,2024-09-16,120,99.75,,148.02,150.0,Short,Close
AVADHSUGAR.NS,2024-10-08,777,572.9,730.13,,830.5,Long,Open
AVAILFC.BO,2024-09-20,353,242.9,,452.46,459.95,Short,Close
AVANTEL.BO,2024-09-11,181,86.05,171.56,,194.7,Long,Open
AVANTIFEED.NS,2024-07-26,608,415.0,,714.81,764.4,Short,Close
AVG.NS,2024-09-24,488,445.0,435.66,,486.95,Long,Open
AVI.BO,2021-03-02,12,4.8,4.85,,4.85,Long,Open
AVIVA.BO,2024-08-26,25,24.88,23.97,,23.97,Long,Open
AVL.BO,2024-09-24,486,2837.5,,529.45,538.5,Short,Close
AVONMORE.BO,2024-09-19,15,10.5,,17.45,17.99,Short,Close
AVROIND.NS,2024-09-25,160,107.1,,172.18,173.9,Short,Close
AVTNPL.NS,2024-08-20,86,86.95,,92.22,94.33,Short,Close
AWHCL.NS,2024-10-07,781,667.1,715.46,,761.85,Long,Open
AXELPOLY.BO,2024-09-04,61,59.25,,67.64,68.5,Short,Close
AXISBANK.NS,2024-09-26,1170,1123.1,,1276.8,1281.65,Short,Close
AXISCADES.NS,2024-09-30,533,501.8,,593.45,605.0,Short,Close
AXITA.BO,2024-09-20,15,20.79,17.49,,18.75,Long,Open
AXTEL.BO,2024-10-01,452,505.2,,489.06,495.0,Short,Close
AYMSYNTEX.NS,2024-10-01,213,80.65,,226.0,226.35,Short,Close
B2BSOFT.BO,2024-10-01,40,26.0,38.45,,45.95,Long,Open
BABA.BO,2024-09-30,13,12.5,,14.6,15.7,Short,Close
BAFNAPH.NS,2024-09-27,84,80.0,,87.06,88.09,Short,Close
BAGFILMS.NS,2024-10-03,12,8.01,,12.75,13.18,Short,Close
BAJAJ-AUTO.NS,2024-09-27,11818,8744.6,,12718.4,12774.0,Short,Close
BAJAJCON.NS,2024-07-18,235,150.9,,282.93,286.9,Short,Close
BAJAJELEC.NS,2024-09-19,902,820.15,,1021.0,1038.0,Short,Close
BAJAJFINSV.NS,2024-09-27,1867,1523.25,,2014.0,2029.9,Short,Close
BAJAJHCARE.BO,2024-09-17,373,265.0,,405.64,412.0,Short,Close
BAJAJHIND.NS,2024-10-01,39,37.05,,44.22,44.84,Short,Close
BAJAJHLDNG.NS,2024-09-20,10473,7659.95,,11191.51,11350.0,Short,Close
BAJAJST.BO,2024-10-08,3359,1210.6,3045.0,,3499.75,Long,Open
BAJFINANCE.NS,2024-09-26,7300,6425.0,,7731.44,7779.4,Short,Close
BALAJITELE.NS,2024-08-27,63,75.25,,71.76,72.6,Short,Close
BALAMINES.NS,2024-10-01,2240,2089.25,,2351.75,2374.0,Short,Close
BALAXI.NS,2024-09-17,97,93.0,,113.74,127.45,Short,Close
BALKRISHNA.NS,2024-09-25,25,22.7,,28.99,29.99,Short,Close
BALKRISIND.NS,2024-10-08,3039,2753.05,2842.74,,3155.8,Long,Open
BALMLAWRIE.NS,2024-10-08,255,257.05,246.98,,278.9,Long,Open
BALPHARMA.NS,2024-10-08,135,121.76,124.99,,139.9,Long,Open
BALRAMCHIN.NS,2024-10-01,653,352.0,,676.91,688.55,Short,Close
BALTE.BO,2024-10-09,31,25.8,30.31,,32.98,Long,Open
BALUFORGE.BO,2024-09-25,748,223.0,,849.51,890.0,Short,Close
BAMBINO.BO,2024-09-10,395,290.0,,437.61,441.3,Short,Close
BANARBEADS.NS,2024-09-26,104,94.0,,112.62,116.95,Short,Close
BANARISUG.NS,2024-09-23,3706,3010.1,3356.99,,3623.8,Long,Open
BANASFN.BO,2024-10-01,10,8.82,,10.7,11.49,Short,Close
BANCOINDIA.NS,2024-10-07,723,649.35,,740.0,783.9,Short,Close
BANDHANBNK.NS,2024-09-18,189,169.15,,212.55,214.2,Short,Close
BANG.NS,2024-10-09,53,46.0,53.11,,70.0,Long,Open
BANKA.NS,2024-10-09,113,105.21,110.58,,119.84,Long,Open
BANKBARODA.NS,2024-09-17,246,236.45,238.81,,241.95,Long,Open
BANKBEES.BO,2024-09-26,525,507.0,,557.23,560.5,Short,Close
BANKINDIA.NS,2024-08-22,105,124.45,,120.82,121.25,Short,Close
BANSWRAS.NS,2024-10-08,138,134.51,133.77,,143.0,Long,Open
BAPACK.BO,2024-10-08,454,411.15,411.45,,454.9,Long,Open
BARBEQUE.BO,2024-09-23,658,499.5,638.96,,666.0,Long,Open
BAROEXT.BO,2024-10-04,13,6.03,,14.28,14.31,Short,Close
BASANTGL.BO,2024-09-24,20,20.0,,22.1,22.29,Short,Close
BASF.NS,2024-09-26,8348,3742.95,6719.54,,7300.0,Long,Open
BASML.NS,2024-09-10,58,37.5,,67.6,69.5,Short,Close
BATAINDIA.NS,2024-09-03,1401,1307.05,,1472.05,1476.95,Short,Close
BATLIBOI.BO,2024-09-25,183,115.6,159.16,,199.8,Long,Open
BAYERCROP.BO,2024-09-26,6731,6042.5,6239.34,,6593.3,Long,Open
BAYERCROP.NS,2024-08-21,6496,5153.2,6291.4,,6415.45,Long,Open
BBL.NS,2024-10-08,4819,4545.0,4386.76,,4900.0,Long,Open
BBOX.NS,2024-09-24,472,210.2,,541.15,548.2,Short,Close
BBTC.NS,2024-10-08,2673,1318.2,2524.54,,2975.0,Long,Open
BBTCL.NS,2024-03-18,232,95.0,,272.31,314.3,Short,Close
BCCFUBA.BO,2024-09-20,98,55.4,82.91,,89.53,Long,Open
BCG.NS,2024-10-04,9,6.8,,9.95,10.09,Short,Close
BCLENTERPR.BO,2024-10-01,1,0.85,,0.99,1.05,Short,Close
BCLIND.NS,2024-10-08,57,55.37,54.61,,68.9,Long,Open
BCONCEPTS.NS,2024-09-05,591,669.0,,724.31,738.9,Short,Close
BCP.BO,2024-10-08,5,3.61,4.65,,6.0,Long,Open
BDH.BO,2024-10-07,335,329.95,,332.63,367.0,Short,Close
BDL.NS,2024-10-09,1163,1040.6,1155.98,,1188.0,Long,Open
BEARDSELL.NS,2024-10-08,49,33.6,44.11,,54.0,Long,Open
BECTORFOOD.NS,2024-09-20,1856,964.3,,2135.26,2200.0,Short,Close
BEDMUTHA.NS,2024-09-13,213,176.0,208.6,,249.0,Long,Open
